,projectName,Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
145,playchess,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
146,pob-monorepo-test-repository,pob-monorepo-test-repository,367.0,issues created before 2025-01-01,0.69,1.38,1.89,1.29,11.88,0.18,44.91,0.72,22.14,14.91,"Dependency Management, Network & API, Configuration & Build"
147,portfolio,portfolio,2.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Configuration & Build, Runtime Errors, Performance Issues"
148,portfolio-ggc,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
149,Portfolio_old,Portfolio_old,1.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
150,pravee03,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
151,presentations,presentations,2.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
152,press-start,press-start,3.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
153,putio-downloader,putio-downloader,61.0,issues created before 2025-01-01,1.1,0.0,2.76,1.47,10.29,9.01,44.49,0.37,20.77,9.74,"Dependency Management, Network & API, Browser Compatibility"
154,Quotes,Quotes,36.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,26.67,13.33,"Dependency Management, Network & API, Browser Compatibility"
155,RAScripts,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
156,roborock-controller-api,roborock-controller-api,55.0,issues created before 2025-01-01,1.29,0.0,3.45,1.72,9.48,8.84,44.18,0.43,19.4,11.21,"Dependency Management, Network & API, Configuration & Build"
157,rss-feed-parser,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
158,Rules,Rules,55.0,issues created before 2025-01-01,0.0,5.0,0.0,0.0,60.0,0.0,5.0,0.0,20.0,10.0,"Browser Compatibility, Network & API, Configuration & Build"
